ID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,Target,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,Anaemia/Pallor_Absent,Anaemia/Pallor_Present,Anaemia/Pallor_Unknown,Anoroxia/Loss of apetite_Absent,Anoroxia/Loss of apetite_Present,Anoroxia/Loss of apetite_Unknown,Ataxia/ Incoordination of movement_Absent,Ataxia/ Incoordination of movement_Present,Ataxia/ Incoordination of movement_Unknown,Constipation_Absent,Constipation_Present,Constipation_Unknown,Diarrhoea_Absent,Diarrhoea_Present,Diarrhoea_Unknown,Dysentery/Bloody diarrhoea_Absent,Dysentery/Bloody diarrhoea_Present,Dysentery/Bloody diarrhoea_Unknown,Dyspnoea/Difficulty breathing_Merge_Absent,Dyspnoea/Difficulty breathing_Merge_Present,Dyspnoea/Difficulty breathing_Merge_Unknown,Icterus/ Yellowsh mucous membrane_Absent,Icterus/ Yellowsh mucous membrane_Present,Icterus/ Yellowsh mucous membrane_Unknown,Lymphnode enlargment_Absent,Lymphnode enlargment_Present,Lymphnode enlargment_Unknown,Pyrexia / Fever_Absent,Pyrexia / Fever_Present,Pyrexia / Fever_Unknown,Staring/Rough coat_Absent,Staring/Rough coat_Present,Staring/Rough coat_Unknown,Stunted growth_Absent,Stunted growth_Present,Stunted growth_Unknown,Submandibular/ Ventral oedema_Absent,Submandibular/ Ventral oedema_Present,Submandibular/ Ventral oedema_Unknown,Weakness_Absent,Weakness_Present,Weakness_Unknown,Weight loss/ Emaciation_Absent,Weight loss/ Emaciation_Present,Weight loss/ Emaciation_Unknown,ANTHRAX,BABESIOSIS,BLACKLEG,CBPP,COLIBACILLOSIS,COWDRIOSIS,FASCIOLOSIS,FMD,GI_PARASITE,LSD,LUNGWORM,PASTEUROLLOSIS,RABIES,TRYPANOSOMOSIS,TUBERCULOSIS,ZZ_OTHER
2275,0,0,U,Eddie,8/29/2019 0:00, CATTLE,LSD,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,P,NO,NO,NO,NO,P,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0.86,8.69,1.3,13.49,13.49,7.39,0.38,11.7,0.86,7.72,2.58,13.95,0.37,9.28,7.64,0.32
8,0,0,U,Eddie,11/26/2018 0:00, CATTLE,ANTHRAX,1,P,NO,P,NO,NO,NO,NO,NO,NO,P,NO,NO,NO,NO,NO,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.1,8.19,0.22,0.34,1.03,49.1,8.42,15.42,0.17,0.68,1.25,0.22,0.57,2.28,0.44,11.56
13,0,0,U,Eddie,11/29/2018 0:00, CATTLE,BABESIOSIS,2,P,NP,NP,NP,P,NP,P,NP,P,P,P,P,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.04,0,0.56,0.03,0.14,0.26,0.67,0.14,0.07,0.28,0.03,0,83.7,14.1,0
94,0,0,U,Eddie,12/13/2018 0:00, CATTLE,BABESIOSIS,2,P,NP,NP,NP,NP,NP,NP,P,NP,NP,P,NP,NP,NP,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0.03,63.99,0.01,0,0,0.01,11.42,0.69,0.32,0.6,22.74,0,0.03,0.14,0.01,0
102,0,0,U,Eddie,12/12/2018 0:00, CATTLE,BABESIOSIS,2,P,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.02,50.78,0.01,0,0,0.01,3.94,0.21,0.05,0.18,44.36,0,0.39,0.03,0,0
104,0,0,U,Eddie,12/18/2018 0:00, CATTLE,BABESIOSIS,2,P,P,P,P,NP,NP,P,P,NO,P,P,NP,NP,P,P,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,62.81,0,0.11,0,28.28,0.75,7.27,0,0.2,0.21,0.01,0,0.36,0.02,0
317,0,0,U,Eddie,1/22/2019 0:00, CATTLE,BABESIOSIS,2,NO,P,NP,NP,NP,NP,NP,NO,NP,NP,P,NP,NP,P,P,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1.15,33.32,9.13,0.97,0.32,0.19,1.63,17.43,2.9,19.73,11.31,0.14,0.49,1.09,0.19,0
461,0,0,U,Eddie,1/1/2015 0:00, CATTLE,BABESIOSIS,2,P,P,NP,P,NP,NP,NP,P,P,P,NP,NP,NP,P,NP,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.02,95.09,1.93,0,0,0.08,0.02,1.18,0,1.6,0.02,0,0,0.06,0,0
466,0,0,U,Eddie,1/23/2019 0:00, CATTLE,BABESIOSIS,2,P,NP,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,79.73,0.01,0,0,0.03,6.07,0.81,0.01,1.99,4.72,0,0,6.28,0.34,0
491,0,0,U,Eddie,3/11/2019 0:00, CATTLE,BABESIOSIS,2,P,P,P,NP,NP,NP,NP,P,P,NO,P,NP,NP,P,P,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,46.48,0.01,0.01,0,11.21,0.66,38.69,0,1.81,0.03,0,0,1.09,0,0
493,0,0,U,Eddie,3/11/2019 0:00, CATTLE,BABESIOSIS,2,P,NP,NP,NP,P,NP,NO,P,NP,P,P,NO,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,51.36,0,0.18,1.71,0.1,33.28,4.54,3.07,0.77,2.87,0.01,0,2,0.09,0
16,0,0,U,Eddie,11/28/2018 0:00, CATTLE,BLACKLEG,3,NP,P,P,NP,NO,NP,NP,NP,NP,P,P,NP,NP,P,NP,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,6.31,0.08,18.65,0.02,0.5,46.19,0,24.32,0,1.73,0.08,0,2.11,0,0,0
117,0,0,U,Eddie,12/19/2018 0:00, CATTLE,BLACKLEG,3,P,P,P,P,NP,NP,NP,NP,NP,P,P,P,NP,P,NP,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0.03,0.77,1.19,0.01,0.01,77.92,0.23,19.61,0.06,0.02,0.04,0,0.03,0.07,0,0
868,0,0,U,Eddie,1/1/2019 0:00, CATTLE,BLACKLEG,3,NO,P,NO,P,NO,NO,NO,NO,NO,P,P,NO,NO,P,NP,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,4.26,8.16,56.06,1.06,1.02,15.56,0.78,5.34,0.2,4.73,0.47,0.88,0.44,0.62,0.3,0.12
79,0,0,U,Eddie,12/18/2018 0:00, CATTLE,CBPP,4,NP,P,NP,NP,NP,NP,P,P,NP,P,NP,P,NP,P,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.01,6.69,0.02,73.66,0.02,0.26,0.11,5.26,0,0.22,0.8,12.01,0.01,0.11,0.82,0
295,0,0,U,Eddie,1/22/2019 0:00, CATTLE,CBPP,4,NP,P,NP,NP,NP,NP,P,NO,P,P,P,NO,NP,P,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.01,0.51,0.2,55.51,0,0.28,0,4.64,0,12.48,0.17,6.25,0,2.13,17.81,0
44,0,0,U,Eddie,12/10/2018 0:00, CATTLE,COLIBACILLOSIS,5,NP,P,NP,NP,P,P,NP,NP,NP,P,P,P,NO,P,P,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,99.23,0,0.06,0.16,0.54,0,0,0,0,0,0,0
53,0,0,U,Eddie,12/11/2018 0:00, CATTLE,COLIBACILLOSIS,5,NO,P,NP,NP,P,NO,NP,NP,NO,P,P,P,NO,NP,P,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0.06,0.02,0.06,0.09,73.27,0.05,1.1,7.27,4.15,0.42,0.15,0.06,0,13.26,0.05,0
68,0,0,U,Eddie,12/16/2018 0:00, CATTLE,COLIBACILLOSIS,5,P,P,NP,NP,P,P,NP,NP,P,P,P,NO,NP,P,P,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0.03,0.01,0,85.34,0.01,0.12,4.09,0.22,1.7,0.02,0,0,8.44,0.01,0
95,0,0,U,Eddie,12/11/2018 0:00, CATTLE,COLIBACILLOSIS,5,NP,NO,NP,NP,P,NP,NP,NP,NP,P,P,P,NP,P,NP,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0.9,0.02,5.71,0.19,70.31,0.54,0.06,19.28,1.48,1.15,0.26,0.02,0.02,0.04,0.02,0
142,0,0,U,Eddie,12/24/2018 0:00, CATTLE,COLIBACILLOSIS,5,NP,P,NP,NP,P,NP,NP,P,NP,NP,NP,NP,NP,P,P,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.06,3.56,0.32,0.05,44.08,0.13,8.35,12.64,1.33,7.58,21.45,0.01,0.39,0.06,0,0
162,0,0,U,Eddie,12/31/2018 0:00, CATTLE,COLIBACILLOSIS,5,NP,NP,NP,NP,P,P,NP,NP,NP,P,NP,NP,NP,P,P,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.01,0,0.01,0,98.04,0.01,0.04,0.41,0.07,0.13,1.29,0,0,0,0,0
285,0,0,U,Eddie,1/21/2019 0:00, CATTLE,COLIBACILLOSIS,5,NP,P,NP,NP,NP,P,NP,NP,NP,P,NP,NP,NP,P,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2.2,0.28,7.22,0.46,52.12,0.15,0.02,23.56,0.02,9.54,3.47,0.36,0.59,0,0.01,0
