CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,DiseaseChosenByUser.1,Target_num,Target_name,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7,Prob_8,Prob_9,Prob_10,Prob_11,Prob_12,Prob_13,sum_prob
5787,1,0,U,veteddie_eddie,7/8/2020 0:00, GOAT,CCPP,NP,P,NP,NP,NP,P,NP,NP,P,P,NP,P,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CCPP,2,CCPP,CCPP,POX,PASTEUROLLOSIS,COWDRIOSIS,MASTITIS,HYPOCALCEMIA / PREGNANCY TOX.,LUNGWORM,CONTAGIOUS ECTHYMA (ORF),PPR,BRUCELLOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,ZZ_OTHER,49.4966,31.5123,14.7807,2.75276,0.595912,0.225379,0.208806,0.185356,0.0954262,0.0680345,0.0437664,0.0348873,2.81e-13,99.9999274
1168,0,0,U,Eddie,3/5/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),CONTAGIOUS ECTHYMA (ORF),MASTITIS,LUNGWORM,BRUCELLOSIS,POX,CCPP,TRICHOSTRONGIULOSIS,MANGE MITE,PASTEUROLLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,COWDRIOSIS,PPR,ZZ_OTHER,68.29,10.24,9.69,8.49,1.96,0.77,0.26,0.23,0.05,0.02,0.01,0.0,0.0,100.01
1100,0,0,U,Eddie,3/4/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NO,NP,NP,P,NP,NP,NP,P,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,CONTAGIOUS ECTHYMA (ORF),MASTITIS,BRUCELLOSIS,COWDRIOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,POX,CCPP,PASTEUROLLOSIS,PPR,ZZ_OTHER,30.04,24.41,18.68,15.99,7.97,1.58,1.13,0.14,0.04,0.01,0.0,0.0,0.0,99.99
4319,1,0,U,veteddie_eddie,1/15/2020 0:00, GOAT,COWDRIOSIS,NP,P,P,NP,NP,NP,P,NP,P,NP,NP,P,NP,NP,P,NP,NP,P,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,COWDRIOSIS,4,COWDRIOSIS,COWDRIOSIS,POX,HYPOCALCEMIA / PREGNANCY TOX.,MASTITIS,CONTAGIOUS ECTHYMA (ORF),PPR,PASTEUROLLOSIS,CCPP,BRUCELLOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,ZZ_OTHER,99.347,0.450244,0.15385,0.0217795,0.0207136,0.00265257,0.00172632,0.00115719,0.000566223,0.000208929,0.000118215,6.12e-07,1.96e-10,100.0000172
3636,1,0,U,veteddie_eddie,1/1/2020 0:00, GOAT,LUNGWORM,NP,NP,NP,NP,NP,P,NP,P,P,NP,NP,P,P,NP,P,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,LUNGWORM,6,LUNGWORM,CCPP,PPR,PASTEUROLLOSIS,POX,LUNGWORM,TRICHOSTRONGIULOSIS,COWDRIOSIS,CONTAGIOUS ECTHYMA (ORF),MASTITIS,BRUCELLOSIS,MANGE MITE,HYPOCALCEMIA / PREGNANCY TOX.,ZZ_OTHER,53.9341,22.5885,18.7382,4.60862,0.122566,0.00337952,0.00203132,0.00108766,0.00103737,0.000409151,3.25e-05,5.64e-06,8.41e-12,99.99996916
2886,0,0,U,veteddie_eddie,2/19/2020 0:00, GOAT,LUNGWORM,NP,P,NP,NP,NP,P,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,LUNGWORM,6,LUNGWORM,CONTAGIOUS ECTHYMA (ORF),BRUCELLOSIS,POX,CCPP,MASTITIS,LUNGWORM,PASTEUROLLOSIS,COWDRIOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,HYPOCALCEMIA / PREGNANCY TOX.,PPR,ZZ_OTHER,25.7504,19.807,13.5085,12.7643,11.6325,10.1351,4.95642,1.15333,0.205083,0.0566827,0.0276009,0.00299771,7.33e-13,99.99991431
2677,0,0,U,Eddie,11/19/2019 0:00, GOAT,MANGE MITE,NP,NP,NP,NP,NP,NP,NP,NP,NO,P,NO,P,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,MANGE MITE,7,MANGE MITE,MASTITIS,MANGE MITE,CONTAGIOUS ECTHYMA (ORF),BRUCELLOSIS,TRICHOSTRONGIULOSIS,POX,CCPP,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,LUNGWORM,PASTEUROLLOSIS,PPR,ZZ_OTHER,42.44,34.91,7.82,6.3,3.39,2.93,0.95,0.79,0.22,0.2,0.06,0.0,0.0,100.01
599,0,0,U,Eddie,2/1/2019 0:00, GOAT,MANGE MITE,P,NP,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,NP,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,MANGE MITE,7,MANGE MITE,MANGE MITE,TRICHOSTRONGIULOSIS,CCPP,POX,LUNGWORM,BRUCELLOSIS,MASTITIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,PASTEUROLLOSIS,PPR,ZZ_OTHER,74.25,23.33,0.81,0.6,0.4,0.3,0.25,0.07,0.0,0.0,0.0,0.0,0.0,100.01
2932,0,42,D,veteddie_eddie,2/11/2020 0:00, GOAT,PASTEUROLLOSIS,NP,P,NP,NP,NP,NP,NP,P,P,P,NP,P,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,PASTEUROLLOSIS,9,PASTEUROLLOSIS,POX,PASTEUROLLOSIS,CCPP,PPR,COWDRIOSIS,CONTAGIOUS ECTHYMA (ORF),MASTITIS,BRUCELLOSIS,LUNGWORM,MANGE MITE,TRICHOSTRONGIULOSIS,HYPOCALCEMIA / PREGNANCY TOX.,ZZ_OTHER,67.7288,21.5339,7.12677,1.44249,1.06572,0.614879,0.375258,0.0428427,0.0300648,0.0219693,0.00971886,0.00755817,5.66e-13,99.99997083
839,0,38,M,Eddie,2/7/2019 0:00, GOAT,PASTEUROLLOSIS,NP,P,NP,NP,NP,P,NP,P,P,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,PASTEUROLLOSIS,9,PASTEUROLLOSIS,CCPP,PASTEUROLLOSIS,POX,PPR,LUNGWORM,COWDRIOSIS,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,MASTITIS,TRICHOSTRONGIULOSIS,ZZ_OTHER,65.04,21.93,10.91,1.77,0.32,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
