CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,DiseaseChosenByUser,Target_num,Target_name,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7,Prob_8,Prob_9,Prob_10,Prob_11,Prob_12,Prob_13,sum_prob
942,0,14,D,Eddie,2/19/2019 0:00, GOAT,BRUCELLOSIS,NP,NP,P,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,BRUCELLOSIS,1,BRUCELLOSIS,BRUCELLOSIS,COWDRIOSIS,MASTITIS,CONTAGIOUS ECTHYMA (ORF),MANGE MITE,POX,LUNGWORM,HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,CCPP,PASTEUROLLOSIS,PPR,ZZ_OTHER,32.99,27.21,23.7,15.82,0.16,0.06,0.03,0.02,0.02,0.01,0,0,0,100.02
943,0,14,D,Eddie,2/19/2019 0:00, GOAT,BRUCELLOSIS,NP,NP,P,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,BRUCELLOSIS,1,BRUCELLOSIS,BRUCELLOSIS,COWDRIOSIS,MASTITIS,CONTAGIOUS ECTHYMA (ORF),MANGE MITE,POX,LUNGWORM,HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,CCPP,PASTEUROLLOSIS,PPR,ZZ_OTHER,32.99,27.21,23.7,15.82,0.16,0.06,0.03,0.02,0.02,0.01,0,0,0,100.02
614,0,38,M,Eddie,2/4/2019 0:00, GOAT,CCPP,NP,P,NP,NP,NP,P,NP,P,P,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CCPP,2,CCPP,CCPP,PASTEUROLLOSIS,POX,PPR,LUNGWORM,COWDRIOSIS,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,MASTITIS,TRICHOSTRONGIULOSIS,ZZ_OTHER,65.04,21.93,10.91,1.77,0.32,0.02,0,0,0,0,0,0,0,99.99
57,0,0,U,Eddie,12/12/2018 0:00, GOAT,CCPP,NP,P,P,NP,NP,P,NO,P,P,NP,P,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CCPP,2,CCPP,CCPP,PASTEUROLLOSIS,POX,COWDRIOSIS,PPR,LUNGWORM,HYPOCALCEMIA / PREGNANCY TOX.,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),MANGE MITE,MASTITIS,TRICHOSTRONGIULOSIS,ZZ_OTHER,77.52,8.37,7.73,4.55,1.41,0.37,0.05,0,0,0,0,0,0,100
1169,0,43,D,Eddie,3/6/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),CONTAGIOUS ECTHYMA (ORF),POX,LUNGWORM,BRUCELLOSIS,MASTITIS,CCPP,HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,PASTEUROLLOSIS,MANGE MITE,COWDRIOSIS,PPR,ZZ_OTHER,75.08,11.78,3.93,3.44,3.4,1.2,0.46,0.28,0.2,0.13,0.08,0.02,0,100
1253,0,10,M,Eddie,3/25/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),CONTAGIOUS ECTHYMA (ORF),BRUCELLOSIS,LUNGWORM,MASTITIS,MANGE MITE,TRICHOSTRONGIULOSIS,POX,CCPP,PASTEUROLLOSIS,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,PPR,ZZ_OTHER,58.8,17.26,16.39,5.97,0.67,0.44,0.34,0.13,0.01,0,0,0,0,100.01
291,0,0,U,Eddie,1/21/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,NP,NP,NP,NP,P,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),LUNGWORM,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),TRICHOSTRONGIULOSIS,MASTITIS,MANGE MITE,CCPP,POX,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,PASTEUROLLOSIS,PPR,ZZ_OTHER,86.5,5.82,3.77,1.49,0.87,0.81,0.7,0.03,0,0,0,0,0,99.99
1098,0,0,U,Eddie,3/4/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,P,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,COWDRIOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),POX,CCPP,MASTITIS,LUNGWORM,PASTEUROLLOSIS,PPR,ZZ_OTHER,86.15,8.68,3.92,0.48,0.24,0.19,0.12,0.1,0.1,0.02,0,0,0,100
4646,0,15,D,veteddie_eddie,8/10/2020 0:00, GOAT,COWDRIOSIS,NP,P,P,NP,NP,NP,NP,NP,NP,P,NP,NP,P,NP,P,NP,P,P,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,COWDRIOSIS,4,COWDRIOSIS,COWDRIOSIS,MANGE MITE,TRICHOSTRONGIULOSIS,POX,CONTAGIOUS ECTHYMA (ORF),MASTITIS,CCPP,HYPOCALCEMIA / PREGNANCY TOX.,BRUCELLOSIS,PPR,LUNGWORM,PASTEUROLLOSIS,ZZ_OTHER,69.1424,16.4465,10.1875,3.05612,0.483279,0.244139,0.204211,0.0795488,0.0764729,0.0680612,0.0070228,0.00468741,1.01E-06,99.99994312
22,0,0,U,Eddie,11/27/2018 0:00, GOAT,COWDRIOSIS,NO,P,P,NP,NP,NP,NP,NP,NO,P,NO,P,NO,P,NP,NP,NP,P,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,COWDRIOSIS,4,COWDRIOSIS,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,TRICHOSTRONGIULOSIS,POX,MASTITIS,CONTAGIOUS ECTHYMA (ORF),CCPP,BRUCELLOSIS,LUNGWORM,PASTEUROLLOSIS,PPR,ZZ_OTHER,77.87,21.06,0.41,0.33,0.19,0.07,0.04,0.02,0.01,0,0,0,0,100
