CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,DiseaseChosenByUser.1,Target_Num,Target_Name,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Disease_14,Disease_1.1,Disease_2.1,Disease_3.1,Disease_4.1,Disease_5.1,Disease_6.1,Disease_7.1,Disease_8.1,Disease_9.1,Disease_10.1,Disease_11.1,Disease_12.1,Disease_13.1,Disease_14.1,sum_prob
3603,0,0,U,veteddie_eddie,12/30/2019 0:00, SHEEP,COENUROSIS,NP,NP,P,NP,NP,NP,NP,NP,P,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COENUROSIS,1,COENUROSIS,COENUROSIS,PASTEUROLLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,COWDRIOSIS,POX,LUNGWORM,PPR,FASCIOLOSIS,TRICHOSTRONGIULOSIS,CONTAGIOUS ECTHYMA (ORF),MANGE MITE,HAEMONCHOSIS,NASAL BOT,ZZ_OTHER,96.4475,1.56041,0.935254,0.481147,0.281057,0.142151,0.0371747,0.0319427,0.0230385,0.0222118,0.021674,0.0150668,0.00133412,1.89e-12,99.99996162
4333,1,0,U,veteddie_eddie,1/16/2020 0:00, SHEEP,COENUROSIS,NP,NP,P,NP,NP,NP,NP,NP,NP,P,P,P,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COENUROSIS,1,COENUROSIS,COENUROSIS,MANGE MITE,TRICHOSTRONGIULOSIS,HYPOCALCEMIA / PREGNANCY TOX.,FASCIOLOSIS,HAEMONCHOSIS,COWDRIOSIS,LUNGWORM,CONTAGIOUS ECTHYMA (ORF),PASTEUROLLOSIS,NASAL BOT,POX,PPR,ZZ_OTHER,51.145,41.5718,2.31109,2.07427,1.17566,0.635568,0.500611,0.349039,0.157582,0.0411014,0.0194127,0.0187408,0.000154142,2.5e-11,100.000029
426,0,20,D,Eddie,1/24/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NP,P,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,80.56,14.13,5.31,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
855,0,3,D,Eddie,2/11/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NO,NO,NO,P,NO,NP,NP,P,NO,P,P,NO,NO,NO,P,P,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,LUNGWORM,TRICHOSTRONGIULOSIS,HAEMONCHOSIS,ZZ_OTHER,PASTEUROLLOSIS,POX,PPR,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,NASAL BOT,58.95,15.8,11.37,9.64,3.05,0.9,0.16,0.07,0.05,0.01,0.0,0.0,0.0,0.0,100.0
577,0,20,D,Eddie,2/4/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NP,P,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,80.56,14.13,5.31,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
59,0,5,D,Eddie,12/12/2018 0:00, SHEEP,FASCIOLOSIS,P,P,P,NP,NP,NP,NO,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,MANGE MITE,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,67.32,31.08,1.45,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
417,0,6,D,Eddie,1/24/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NP,P,NP,NP,NO,NP,P,P,P,P,P,NP,NP,NP,P,NP,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,PASTEUROLLOSIS,LUNGWORM,MANGE MITE,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,POX,PPR,ZZ_OTHER,65.16,31.28,3.48,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
432,0,20,D,Eddie,1/24/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NP,P,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,80.56,14.13,5.31,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
439,0,20,D,Eddie,1/25/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NP,P,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,80.56,14.13,5.31,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
1036,0,48,D,Eddie,2/21/2019 0:00, SHEEP,FASCIOLOSIS,P,NP,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,50.8,47.04,1.88,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
