caseID,anthrax,babesiosis,blackleg_black_quarter,cbpp,colibacillosis,cowdriosis,fmd_foot_and_mouth_disease,fasciolosis,lsd_lumpy_skin_disease_,lungworm_verminous_pneumonia,pasteurellosis_pneumonic,gi_parasites,rabies,trypanosomosis,tuberculosis,zz_other,coenurosis,contagious_ecthyma_orf_,haemonchosis,hypoglycemia_pregnancy_toxemia,mange_mites,nasal_bot,pox,ppr,trichostrongylosis,brucellosis,ccpp,mastitis,camel_calf_diarrhoea,plant_poisoning,abscess,respiratory_infections,sudden_death_unkown_d,african_horse_sickness,ascaris_foals,gi_non_infectious_colic,habronemiasis,heat_stress,epizootic_lymphangitis,ulcerative_lymphangitis,resp_lower_bact,resp_upper_bact,resp_asth_lungworm,resp_viral,strangles,tetanus,hemorrhagic_septicemia,region,location,species,age,breed,sex,app_disease,user_disease
6,-1,-1,-1,-1,-1,0.000491364,-1,1.54E-05,-1,0.246327,44.6893,-1,-1,-1,-1,7.59E-11,5.51E-08,1.01E-05,6.27E-07,7.56E-06,1.18E-05,0.000030852,53.6799,1.38393,6.87E-06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,Bishoftu ,Sheep,2 - 4 years,Local,Female,Pox,-1
7,-1,-1,-1,-1,-1,0.0142384,-1,0.00247344,-1,6.71374,42.9768,-1,-1,-1,-1,4.04E-10,3.13E-05,0.000234011,0.00463509,0.004301,0.00308586,0.000464774,48.4251,1.85106,0.00381083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,Bishoftu ,Sheep,13 - 24 months,Local,Male,Pox,-1
9,-1,-1,-1,-1,-1,20.0142,-1,-1,-1,0.0128442,0.182298,-1,-1,-1,-1,2.92E-14,-1,18.5556,-1,7.88298,0.0559851,-1,11.904,0.0156109,0.112342,11.874,1.2679,28.1223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,Batu clinic,Goats,2 - 4 years,Local,Female,zz_Other,31
11,28.1165,0.158561,58.5649,0.0990064,0.0524184,0.158036,2.2809,8.09E-05,2.71234,0.199838,0.0504385,0.00088514,7.60225,0.000991668,0.00280264,3.57E-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,batu clinic,Cattle,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,-1
13,0.256978,0.0157063,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.371999,6.17795,0.00135585,-1,1.20E-10,-1,-1,-1,-1,0.000667697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.184377,4.6932,45.4357,0.000300366,1.04286,0.0142185,0.00662575,5.44347,3.94335,26.0746,5.29987,0.0875722,0.949175,-1,Oromia,batu clinic,Horse/Mule,2 - 4 years,Local,Male,Resp_asth_lungworm,-1
14,-1,-1,-1,-1,-1,2.24E-06,-1,45.058,-1,0.0654362,0.359905,-1,-1,-1,-1,9.28E-10,0.00308948,0.00193495,1.43661,0.0347286,0.000613938,8.06E-05,0.019116,0.0818797,52.9386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,batu clinic,Sheep,13 - 24 months,Local,Female,Fasciolosis,-1
15,-1,-1,-1,-1,-1,93.7362,-1,-1,-1,0.00205468,1.28615,-1,-1,-1,-1,8.67E-10,-1,0.0367245,-1,0.178882,0.00347361,-1,4.0452,0.199325,0.000664202,0.00255884,0.487054,0.0217002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,batu clinic,Goats,7 - 12 months,Local,Female,Cowdriosis,-1
16,5.95821,0.533145,7.99874,50.3843,0.0107042,0.703984,7.09929,3.81E-05,11.3306,2.48071,12.8088,0.00149333,0.327247,0.0120222,0.350683,3.06E-11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,batu clinic,Cattle,2 - 4 years,Local,Male,Lungworm /Verminous pneumonia,-1
17,0.0464194,0.000543209,0.0938184,0.000591198,99.3511,0.00285702,0.289227,0.00044647,0.109637,0.0786075,0.00291608,0.0116003,0.012152,5.40E-05,9.22E-06,2.00E-06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,batu clinic,Cattle,0 - 6 months,Exotic,Female,Colibacillosis,-1
18,12.7543,0.0463767,3.37164,0.1231,37.6652,0.207415,28.0035,0.00570207,13.9451,2.90999,0.0312947,0.104259,0.812479,0.0175931,0.00204954,7.97E-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Oromia,Batu clinic,Cattle,7 - 12 months,Cross,Female,Colibacillosis,-1
