caseID,abdominal_pain_rolling_kicking_stomach,anaemia_pallor,ataxia_incoordinated_movement,anorexia_loss_of_appetite,constipation,depression_apathy,diarrhoea,abnormal_breathing_,dyspnoea_difficulty_breathing,staring_rough_coat,fecal_output_absence_of,hair_loss_alopecia,stunted_growth,lymphnode_enlargement,nasal_discharge_serous,submandibular_ventral_oedema,weakness,nasal_discharge_mucopurullent,weight_loss_emaciation,occular_discharge_invol_eyelid_closure,pyrexia_fever,swelling_neck_area,icterus_yellowish_mucous_membrane,coughing_including_owner_reported,dysentery_bloody_diarrhea,dehydration,occular_nasal_discharge,abortion,congested_mucous_membrane,dyspnoea_coughing,lameness,nodular_lesions_painful,sudden_death,region,location,species,age,breed,sex,app_disease,user_disease
6, ,Absent,Absent,Present,Absent,Present,Absent, , ,Present, , ,Absent,Present, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Oromia,Bishoftu ,Sheep,2 - 4 years,Local,Female,Pox,-1
7, , ,Absent,Present,Absent,Present,Absent, , ,Present, , ,Absent, , , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent, , , ,Present, , ,Oromia,Bishoftu ,Sheep,13 - 24 months,Local,Male,Pox,-1
9, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Batu clinic,Goats,2 - 4 years,Local,Female,zz_Other,31
11, ,Absent,Absent,Present,Absent, ,Absent, ,Absent,Absent, , , ,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,batu clinic,Cattle,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,-1
13,Present,Absent,Absent,Present, ,Present,Absent,Present, , ,Absent,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent,Absent,Absent,Absent, ,Present, , , , , , , , ,Oromia,batu clinic,Horse/Mule,2 - 4 years,Local,Male,Resp_asth_lungworm,-1
14, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Present,Present, , , ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Oromia,batu clinic,Sheep,13 - 24 months,Local,Female,Fasciolosis,-1
15, ,Absent,Present,Present,Absent,Present,Absent, , ,Present, , , ,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Absent, , ,Oromia,batu clinic,Goats,7 - 12 months,Local,Female,Cowdriosis,-1
16, ,Absent,Absent,Present,Absent, ,Absent, ,Present,Present, , ,Absent,Absent, , ,Absent,Present, , , ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,batu clinic,Cattle,2 - 4 years,Local,Male,Lungworm /Verminous pneumonia,-1
17, ,Absent,Absent,Present,Absent, ,Present, ,Absent,Absent, , ,Absent,Absent, , , ,Present, , , ,Present, ,Absent, ,Present, , , , , , , ,Oromia,batu clinic,Cattle,0 - 6 months,Exotic,Female,Colibacillosis,-1
18, ,Absent,Absent,Present,Absent, ,Present, ,Absent,Present, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,Batu clinic,Cattle,7 - 12 months,Cross,Female,Colibacillosis,-1
19,Absent,Absent,Present,Absent, ,Present,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Present,Absent,Present,Absent,Present, , ,Present, , , , , , , , ,Amhara,Chefa Robit /Kemissie,Horse/Mule,13 - 24 months,Local,Male,Epizootic lymphangitis,-1
20, ,Absent,3,4,5, ,7, ,9,10, , ,13,14, , ,17,18, ,20, ,22, ,24, ,26, , , , , , , ,Oromia,Holeta,Cattle,Older than 4 years,Cross,Male,Blackleg /Black quarter,-1
22, ,Present,Absent,Present,Absent, ,Present, ,Present, , , ,Present,Present, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,Bako,Cattle,Older than 4 years,Local,Male,Trypanosomosis,-1
24, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Present,Absent, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,olancitii,Cattle,Older than 4 years,Local,Female,Pasteurellosis_pneumonic,-1
25, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Absent, , ,Oromia,olanciti,Sheep,7 - 12 months,Local,Male,Pasteurellosis_pneumonic,-1
26, ,Present,Absent,Present,Absent,Present,Absent, , ,Present, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Oromia,olanciti,Goats,7 - 12 months,Local,Male,Pasteurellosis_pneumonic,-1
27, ,Absent,Absent,Present,Absent,Present,Absent, , ,Present, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Oromia,olanciti,Sheep,7 - 12 months,Local,Male,Pasteurellosis_pneumonic,-1
28,,,Absent,Absent, ,Present,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Absent,Present,Absent,Present,Absent, ,Present, , , , , , , , ,Oromia,olanciti,Horse/Mule,7 - 12 months,Local,Male,Resp_lower_bact,-1
29, ,Absent,Absent,Present,Absent, ,Absent, ,Present,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,olanciti,Cattle,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,-1
30, ,Absent,Absent,Present,Absent,Present,Present, , ,Present, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent,Present,Present, , ,Present, , ,Oromia,olanciti,Goats,7 - 12 months,Local,Male,PPR,-1
31, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Present, , ,Absent,Present, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,olanciti,Cattle,13 - 24 months,Local,Male,Anthrax,-1
32, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,olanciti,Cattle,Older than 4 years,Local,Female,zz_Other,28
33,Absent,Absent,Absent,Present, ,Present,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Absent,Absent,Absent,Present,Absent, ,Absent, , , , , , , , ,Oromia,olaanciti,Horse/Mule,Older than 4 years,Local,Male,Heat stress,-1
34, ,Absent,Present,Present,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,olanciti,Cattle,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,-1
35,Absent,Absent,Absent,Absent, ,Present,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent,Absent,Absent,Absent, ,Absent, , , , , , , , ,Oromia,olanciti,Donkey,Older than 4 years,Local,Male,zz_Other,31
36, ,Present,Present,Absent, , , , , , , , , , , , , , , , , , , , , , , ,Present, , ,Present, , ,Addis_ababa,Crawford,Sheep,13 - 24 months,Exotic,Male,zz_Other,2
37, ,Absent, ,Absent,Absent, ,Absent, , , , , ,Absent,Present, , ,Absent, , , , , , ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,kombolcha,Goats,13 - 24 months,Local,Male,Contagious ecthyma /Orf/,-1
38, ,Present, ,Present, , ,Present, ,Absent, , , , , , , ,Present, , ,Present, ,Absent, ,Absent, , , , , , , , , ,Amhara,dessi-boru,Cattle,13 - 24 months,Exotic,Male,GI parasites,-1
39, , , ,Present, , ,Absent, ,Absent,Present, , , ,Present, , ,Absent,Present, ,Present, ,Absent, ,Present, ,Absent, , , , , , , ,Amhara,dessi-boru,Cattle,2 - 4 years,Local,Female,zz_Other,26
40, , , ,Present, , ,Absent, ,Absent,Present, , ,Absent,Present, , ,Absent,Present, ,Present, ,Absent, ,Present, ,Absent, , , , , , , ,Amhara,kombolcha,Cattle,Older than 4 years,Exotic,Female,zz_Other,26
41, , ,Absent,Present,Absent,Present,Absent, , , , , , ,Present, , , ,Present, ,Present, ,Present, , , ,Absent,Present,Present, , ,Present, , ,Amhara,Dessi boru,Sheep,13 - 24 months,Local,Female,Pasteurellosis_pneumonic,-1
42, ,Present,Absent,Absent,Absent,Absent,Absent, , , , , ,Absent,Absent, , ,Absent,Present, , , ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,kombolcha,Goats,13 - 24 months,Local,Female,zz_Other,72
43, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Absent, ,Absent, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,kombolcha,Cattle,Older than 4 years,Local,Male,zz_Other,76
44, , ,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, , ,Absent,Present, , ,Present, , ,Oromia,Asella,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
45, , ,Absent,Absent,Absent,Absent,Absent, , ,Absent, , ,Absent,Absent, , ,Present,Present, ,Present, ,Absent, , , ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Asella,Sheep,13 - 24 months,Local,Female,Haemonchosis,-1
46,Absent,Absent,Absent,Present, ,Present,Absent,Present, , ,Present,Absent, ,Absent, ,Present, ,Present,Absent,Present,Absent,Absent,Absent, ,Present, , , , , , , , ,Oromia,Asella ,Horse/Mule,2 - 4 years,Local,Male,Resp_asth_lungworm,-1
48, ,Absent,Absent,Absent,Absent,Present,Absent, , , , , ,Absent,Absent, , ,Absent, , , , ,Absent, ,Present, ,Absent,Absent,Present, , ,Present, , ,Amhara,kombolcha,Goats,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,-1
49, , ,Present,Present,Absent,Present,Absent, , ,Absent, , ,Absent, , , ,Present,Present, , , ,Present, , , ,Absent,Present,Present, , ,Present, , ,Amhara,kombolcha,Goats,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
50, ,Absent, , , ,Present,Present, , , , , ,Absent, , , ,Absent, , , , ,Present, ,Absent, ,Absent,Present,Present, , ,Present, , ,Amhara,kombolcha,Sheep,13 - 24 months,Local,Male,PPR,-1
51, , ,Present,Present, ,Present,Absent, , , , , , ,Absent, , , ,Present, , , , , ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,kombolcha,Sheep,13 - 24 months,Local,Female,zz_Other,76
52, , ,Present,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, , , ,Absent,Absent,Present, , , , , ,Amhara,kombolcha,Goats,13 - 24 months,Local,Female,Mange mites,1
53,Absent,Absent,Absent,Absent, ,Absent,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent,Absent,Present,Present,Absent,Absent, ,Absent, , , , , , , , ,SNNP,bulie,Horse/Mule,2 - 4 years,Local,Female,Habronemiasis,-1
54, ,Absent,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Oromia,Batu clinic,Sheep,13 - 24 months,Local,Female,Trichostrongylosis,-1
55, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , , , , ,Oromia,Batu clinic,Goats,2 - 4 years,Local,Female,PPR,-1
56, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,0 - 6 months,Local,Female,PPR,-1
57, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,7 - 12 months,Local,Male,PPR,-1
