'ANAEMIA / PALLOR (PALE MEMBRANES)'_Absent,'ANAEMIA / PALLOR (PALE MEMBRANES)'_Present,'ANAEMIA / PALLOR (PALE MEMBRANES)'_Unknown,'ANOREXIA / (LOSS OF APPETITE)'_Absent,'ANOREXIA / (LOSS OF APPETITE)'_Present,'ANOREXIA / (LOSS OF APPETITE)'_Unknown,'APATHY / DEPRESSION'_Absent,'APATHY / DEPRESSION'_Present,'APATHY / DEPRESSION'_Unknown,'ATAIXA / INCORDINATION OF MOVEMENT'_Absent,'ATAIXA / INCORDINATION OF MOVEMENT'_Present,'ATAIXA / INCORDINATION OF MOVEMENT'_Unknown,'CONSTIPATION'_Absent,'CONSTIPATION'_Present,'CONSTIPATION'_Unknown,'DEHYDRATION'_Absent,'DEHYDRATION'_Present,'DEHYDRATION'_Unknown,'DIARRHOEA'_Absent,'DIARRHOEA'_Present,'DIARRHOEA'_Unknown,'DYSENTERY  (BLOOD IN FAECES)'_Absent,'DYSENTERY  (BLOOD IN FAECES)'_Unknown,'DYSPNOEA / COUGHING (DIFFICULTY BREATHING)'_Present,'DYSPNOEA / COUGHING (DIFFICULTY BREATHING)'_Unknown,'ICTERUS (YELLOWING OF MEMBRANES)'_Absent,'ICTERUS (YELLOWING OF MEMBRANES)'_Unknown,'LYMPH NODE ENLARGEMENT'_Absent,'LYMPH NODE ENLARGEMENT'_Present,'LYMPH NODE ENLARGEMENT'_Unknown,'OCCULAR / NASAL DISCHARGE'_Absent,'OCCULAR / NASAL DISCHARGE'_Present,'OCCULAR / NASAL DISCHARGE'_Unknown,'PYREXIA / FEVER'_Absent,'PYREXIA / FEVER'_Present,'PYREXIA / FEVER'_Unknown,'STARING COAT (STANDING HAIR / ROUGH COAT)'_Absent,'STARING COAT (STANDING HAIR / ROUGH COAT)'_Present,'STARING COAT (STANDING HAIR / ROUGH COAT)'_Unknown,'STUNTED GROWTH'_Absent,'STUNTED GROWTH'_Present,'STUNTED GROWTH'_Unknown,'SUBMANDIBULAR / VENTRAL OEDEMA'_Absent,'SUBMANDIBULAR / VENTRAL OEDEMA'_Unknown,'WEAKNESS'_Absent,'WEAKNESS'_Present,'WEAKNESS'_Unknown,'WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)'_Absent,'WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)'_Present,'WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)'_Unknown,DiseaseChosenByUser
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,COENUROSIS
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,COENUROSIS
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,COENUROSIS
1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,COENUROSIS
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,COENUROSIS
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,CONTAGIOUS ECTHYMA (ORF)
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,CONTAGIOUS ECTHYMA (ORF)
1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,CONTAGIOUS ECTHYMA (ORF)
1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,CONTAGIOUS ECTHYMA (ORF)
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,CONTAGIOUS ECTHYMA (ORF)
