CaseID,Date,Species,Age,Breed,Sex,UCDisease,AppDisease,ZZ_other
4673,06/01/2010,Cattle,Older than 2 Years,Local,Male,GI parasites,GI parasites,
4674,06/01/2010,Cattle,13-24 Months,Local,Female,Lungworm /Verminous pneumonia,Lungworm /Verminous pneumonia,
4675,06/01/2010,Cattle,Older than 2 Years,Local,Male,Colibacillosis,Colibacillosis,
4671,24/01/2010,Cattle,7-12 Months,Local,Male,Anthrax,Anthrax,
6,19/11/2019,Sheep,2 - 4 years,Local,Female,Pox,Pox,
7,19/11/2019,Sheep,13 - 24 months,Local,Male,Pox,Pox,
24,19/11/2019,Cattle,Older than 4 years,Local,Female,Pasteurellosis_pneumonic,,
37,19/11/2019,Goats,13 - 24 months,Local,Male,Contagious ecthyma /Orf/,,
9,20/11/2019,Goats,2 - 4 years,Local,Female,zz_Other,Mastitis,Dyspnoea/ Coughing
11,20/11/2019,Cattle,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,Blackleg /Black quarter,
13,20/11/2019,Horse/Mule,2 - 4 years,Local,Male,Resp_asth_lungworm,GI_non-infectious_colic,
14,20/11/2019,Sheep,13 - 24 months,Local,Female,Fasciolosis,Trichostrongylosis,
15,20/11/2019,Goats,7 - 12 months,Local,Female,Cowdriosis,Cowdriosis,
16,20/11/2019,Cattle,2 - 4 years,Local,Male,Lungworm /Verminous pneumonia,CBPP,
17,20/11/2019,Cattle,0 - 6 months,Exotic,Female,Colibacillosis,Colibacillosis,
18,20/11/2019,Cattle,7 - 12 months,Cross,Female,Colibacillosis,Colibacillosis,
25,20/11/2019,Sheep,7 - 12 months,Local,Male,Pasteurellosis_pneumonic,,
26,20/11/2019,Goats,7 - 12 months,Local,Male,Pasteurellosis_pneumonic,,
27,20/11/2019,Sheep,7 - 12 months,Local,Male,Pasteurellosis_pneumonic,,
28,20/11/2019,Horse/Mule,7 - 12 months,Local,Male,Resp_lower_bact,,
29,20/11/2019,Cattle,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,,
30,20/11/2019,Goats,7 - 12 months,Local,Male,PPR,,
41,20/11/2019,Sheep,13 - 24 months,Local,Female,Pasteurellosis_pneumonic,,
52,20/11/2019,Goats,13 - 24 months,Local,Female,Mange mites,,Abdominal pain/rolling/kicking stomach
19,21/11/2019,Horse/Mule,13 - 24 months,Local,Male,Epizootic lymphangitis,Epizootic lymphangitis,
20,21/11/2019,Cattle,Older than 4 years,Cross,Male,Blackleg /Black quarter,Blackleg /Black quarter,
48,21/11/2019,Goats,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,,
22,22/11/2019,Cattle,Older than 4 years,Local,Male,Trypanosomosis,Trypanosomosis,
31,22/11/2019,Cattle,13 - 24 months,Local,Male,Anthrax,,
32,22/11/2019,Cattle,Older than 4 years,Local,Female,zz_Other,,Occular/ Nasal discharge
33,22/11/2019,Horse/Mule,Older than 4 years,Local,Male,Heat stress,,
34,22/11/2019,Cattle,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,,
35,22/11/2019,Donkey,Older than 4 years,Local,Male,zz_Other,,Dyspnoea/ Coughing
36,22/11/2019,Sheep,13 - 24 months,Exotic,Male,zz_Other,zz_Other,Anaemia (pallor)
44,22/11/2019,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
45,22/11/2019,Sheep,13 - 24 months,Local,Female,Haemonchosis,Haemonchosis,
46,22/11/2019,Horse/Mule,2 - 4 years,Local,Male,Resp_asth_lungworm,Resp_asth_lungworm,
63,22/11/2019,Goats,0 - 6 months,Local,Female,Trichostrongylosis,Trichostrongylosis,
64,22/11/2019,Sheep,2 - 4 years,Local,Male,Fasciolosis,Fasciolosis,
65,22/11/2019,Sheep,2 - 4 years,Local,Male,Fasciolosis,Trichostrongylosis,
66,22/11/2019,Cattle,Older than 4 years,Local,Female,Lungworm /Verminous pneumonia,Anthrax,
67,22/11/2019,Cattle,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,Blackleg /Black quarter,
68,22/11/2019,Sheep,2 - 4 years,Local,Male,PPR,Pox,
69,22/11/2019,Sheep,2 - 4 years,Local,Male,PPR,PPR,
70,22/11/2019,Sheep,13 - 24 months,Local,Male,PPR,PPR,
71,22/11/2019,Goats,2 - 4 years,Local,Male,PPR,PPR,
72,22/11/2019,Goats,7 - 12 months,Local,Male,PPR,PPR,
73,22/11/2019,Goats,7 - 12 months,Local,Female,zz_Other,Mange mites,Submandibular/ Ventral oedema
74,22/11/2019,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
75,22/11/2019,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,Pox,
76,22/11/2019,Sheep,13 - 24 months,Local,Male,Pasteurellosis_pneumonic,Pox,
77,22/11/2019,Sheep,0 - 6 months,Local,Male,Pasteurellosis_pneumonic,Pox,
78,22/11/2019,Sheep,7 - 12 months,Local,Female,Pasteurellosis_pneumonic,Pox,
79,22/11/2019,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,Pox,
38,23/11/2019,Cattle,13 - 24 months,Exotic,Male,GI parasites,,
39,23/11/2019,Cattle,2 - 4 years,Local,Female,zz_Other,,Dysentery/Bloody diarrhea
40,23/11/2019,Cattle,Older than 4 years,Exotic,Female,zz_Other,,Dysentery/Bloody diarrhea
42,23/11/2019,Goats,13 - 24 months,Local,Female,zz_Other,,Increased rate of resp.
49,23/11/2019,Goats,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,,
103,23/11/2019,Cattle,0 - 6 months,Cross,Male,Anthrax,Anthrax,
50,24/11/2019,Sheep,13 - 24 months,Local,Male,PPR,,
51,24/11/2019,Sheep,13 - 24 months,Local,Female,zz_Other,,Salivation
53,24/11/2019,Horse/Mule,2 - 4 years,Local,Female,Habronemiasis,Habronemiasis,
54,25/11/2019,Sheep,13 - 24 months,Local,Female,Trichostrongylosis,Trichostrongylosis,
55,25/11/2019,Goats,2 - 4 years,Local,Female,PPR,PPR,
56,25/11/2019,Sheep,0 - 6 months,Local,Female,PPR,PPR,
57,25/11/2019,Sheep,7 - 12 months,Local,Male,PPR,PPR,
58,25/11/2019,Sheep,2 - 4 years,Local,Female,PPR,PPR,
59,25/11/2019,Goats,13 - 24 months,Local,Male,zz_Other,Trichostrongylosis,Hair loss (alopecia)
60,25/11/2019,Sheep,13 - 24 months,Local,Male,Trichostrongylosis,Trichostrongylosis,
61,25/11/2019,Sheep,13 - 24 months,Local,Female,Trichostrongylosis,Trichostrongylosis,
62,25/11/2019,Sheep,2 - 4 years,Local,Female,Trichostrongylosis,Trichostrongylosis,
80,25/11/2019,Sheep,13 - 24 months,Local,Male,zz_Other,Trichostrongylosis,Hair loss (alopecia)
83,26/11/2019,Sheep,2 - 4 years,Local,Female,Mange mites,Mange mites,
94,26/11/2019,Sheep,2 - 4 years,Local,Female,zz_Other,Hypoglycemia /Pregnancy toxemia,Hair loss (alopecia)
95,26/11/2019,Goats,13 - 24 months,Local,Male,zz_Other,Trichostrongylosis,Hair loss (alopecia)
96,26/11/2019,Cattle,Older than 4 years,Local,Male,zz_Other,Blackleg /Black quarter,Salivation
97,26/11/2019,Cattle,7 - 12 months,Local,Male,zz_Other,Blackleg /Black quarter,Death (history)
98,26/11/2019,Cattle,7 - 12 months,Local,Male,zz_Other,Blackleg /Black quarter,Death (history)
99,26/11/2019,Sheep,2 - 4 years,Local,Female,Fasciolosis,Fasciolosis,
100,26/11/2019,Sheep,2 - 4 years,Local,Male,Fasciolosis,Fasciolosis,
101,26/11/2019,Goats,13 - 24 months,Local,Male,Trichostrongylosis,Contagious ecthyma /Orf/,
102,26/11/2019,Sheep,Older than 4 years,Local,Female,Mange mites,Mange mites,
111,26/11/2019,Goats,Older than 4 years,Local,Female,zz_Other,PPR,Parasite in the feaces
112,26/11/2019,Cattle,Older than 4 years,Local,Male,zz_Other,Lungworm /Verminous pneumonia,Occular discharge/Invol. eyelid closure
115,26/11/2019,Cattle,Older than 4 years,Local,Female,Colibacillosis,Blackleg /Black quarter,
116,26/11/2019,Cattle,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,LSD (Lumpy Skin Disease/,
117,26/11/2019,Goats,2 - 4 years,Local,Female,PPR,PPR,
92,27/11/2019,Sheep,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,Contagious ecthyma /Orf/,
93,27/11/2019,Horse/Mule,2 - 4 years,Local,Male,Resp_asth_lungworm,Resp_asth_lungworm,
113,27/11/2019,Goats,2 - 4 years,Local,Male,zz_Other,PPR,
242,27/11/2019,Goats,Older than 4 years,Local,Male,Trichostrongylosis,Cowdriosis,
84,28/11/2019,Goats,0 - 6 months,Local,Male,Trichostrongylosis,Trichostrongylosis,
85,28/11/2019,Sheep,7 - 12 months,Local,Male,Fasciolosis,Haemonchosis,
86,28/11/2019,Cattle,Older than 4 years,Local,Male,GI parasites,Lungworm /Verminous pneumonia,
87,28/11/2019,Goats,0 - 6 months,Local,Female,Trichostrongylosis,Trichostrongylosis,
88,28/11/2019,Cattle,2 - 4 years,Local,Female,zz_Other,Anthrax,Salivation
89,28/11/2019,Cattle,13 - 24 months,Local,Female,zz_Other,Anthrax,Salivation
90,28/11/2019,Cattle,13 - 24 months,Local,Male,GI parasites,Rabies,
91,28/11/2019,Cattle,13 - 24 months,Local,Female,GI parasites,Rabies,
110,28/11/2019,Sheep,Older than 4 years,Local,Male,Pox,Pasteurellosis_pneumonic,
106,29/11/2019,Horse/Mule,2 - 4 years,Local,Male,Strangles,Strangles,
107,29/11/2019,Camel,Older than 4 years,Local,Male,Mange mites,Trypanosomosis,
108,29/11/2019,Sheep,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
109,29/11/2019,Sheep,13 - 24 months,Local,Female,Trichostrongylosis,Trichostrongylosis,
114,29/11/2019,Cattle,Older than 4 years,Cross,Male,zz_Other,Rabies,Falling
118,29/11/2019,Goats,0 - 6 months,Local,Female,zz_Other,Cowdriosis,Jaundice
119,29/11/2019,Goats,2 - 4 years,Local,Male,Mange mites,Mange mites,
120,29/11/2019,Goats,2 - 4 years,Local,Male,Mange mites,Mange mites,
121,30/11/2019,Sheep,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,Pasteurellosis_pneumonic,
122,30/11/2019,Cattle,0 - 6 months,Cross,Male,Anthrax,Anthrax,
828,30/11/2019,Cattle,0 - 6 months,Cross,Male,Anthrax,Anthrax,
123,02/12/2019,Goats,0 - 6 months,Local,Female,Contagious ecthyma /Orf/,Mastitis,
124,02/12/2019,Sheep,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,Pox,
125,02/12/2019,Cattle,Older than 4 years,Local,Male,GI parasites,GI parasites,
126,02/12/2019,Camel,Older than 4 years,Local,Female,Respiratory infections,Respiratory infections,
127,04/12/2019,Cattle,Older than 4 years,Local,Male,CBPP,CBPP,Falling
128,04/12/2019,Sheep,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,Pasteurellosis_pneumonic,
129,04/12/2019,Cattle,Older than 4 years,Local,Female,zz_Other,Cowdriosis,Occular/ Nasal discharge
130,04/12/2019,Horse/Mule,Older than 4 years,Local,Male,Strangles,African horse sickness,
140,04/12/2019,Camel,Older than 4 years,Local,Male,Abscess,Mastitis,
